Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,62.00,98.00,NA,48.30,NA,3.30,12.60,NA,NA,0.00,NA,NA,NA,NA,NA,19.40,88.00,0.50,NA,NA,NA,NA,NA,NA
2025-01-01 00:15:00,62.00,98.00,NA,48.10,NA,3.30,12.60,NA,NA,0.10,NA,NA,NA,NA,NA,19.40,88.00,0.60,NA,NA,NA,NA,NA,NA
2025-01-01 00:30:00,62.00,98.00,NA,47.60,NA,3.40,12.10,NA,NA,0.10,NA,NA,NA,NA,NA,19.40,88.00,0.50,NA,NA,NA,NA,NA,NA
2025-01-01 00:45:00,87.00,133.00,NA,47.40,NA,3.50,12.10,NA,NA,0.00,NA,NA,NA,NA,NA,18.90,88.00,0.50,NA,NA,NA,NA,NA,NA
2025-01-01 01:00:00,87.00,133.00,NA,46.80,NA,3.40,11.50,NA,NA,0.00,NA,NA,NA,NA,NA,18.90,89.00,0.50,NA,NA,NA,NA,NA,NA
2025-01-01 01:15:00,87.00,133.00,NA,47.60,NA,3.00,10.50,NA,NA,0.00,NA,NA,NA,NA,NA,18.90,90.00,0.50,NA,NA,NA,NA,NA,NA
2025-01-01 01:30:00,87.00,133.00,NA,47.90,NA,2.90,10.00,NA,NA,0.10,NA,NA,NA,NA,NA,18.90,90.00,0.40,NA,NA,NA,NA,NA,NA
2025-01-01 01:45:00,88.00,117.00,NA,47.80,NA,3.10,NA,NA,NA,0.00,NA,NA,NA,NA,NA,18.40,90.00,0.50,NA,NA,NA,NA,NA,NA
2025-01-01 02:00:00,88.00,117.00,NA,47.60,NA,3.50,12.30,NA,NA,0.10,NA,NA,NA,NA,NA,18.40,91.00,0.40,NA,NA,NA,NA,NA,NA
2025-01-01 02:15:00,88.00,117.00,NA,47.20,NA,3.50,13.40,NA,NA,0.10,NA,NA,NA,NA,NA,18.40,91.00,0.40,NA,NA,NA,NA,NA,NA
2025-01-01 02:30:00,88.00,117.00,NA,47.20,NA,3.40,13.10,NA,NA,0.10,NA,NA,NA,NA,NA,18.40,91.00,0.50,NA,NA,NA,NA,NA,NA
2025-01-01 02:45:00,80.00,100.00,NA,47.20,NA,3.40,12.80,NA,NA,0.10,NA,NA,NA,NA,NA,18.00,91.00,0.40,NA,NA,NA,NA,NA,NA
2025-01-01 03:00:00,80.00,100.00,NA,47.60,NA,3.60,11.30,NA,NA,0.10,NA,NA,NA,NA,NA,18.00,91.00,0.30,NA,NA,NA,NA,NA,NA
2025-01-01 03:15:00,80.00,100.00,NA,47.20,NA,3.80,11.30,NA,NA,0.00,NA,NA,NA,NA,NA,18.00,91.00,0.30,NA,NA,NA,NA,NA,NA
2025-01-01 03:30:00,80.00,100.00,NA,46.40,NA,3.90,11.80,NA,NA,0.10,NA,NA,NA,NA,NA,18.00,92.00,0.30,NA,NA,NA,NA,NA,NA
2025-01-01 03:45:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-01 04:00:00,63.00,88.00,NA,47.20,NA,3.80,13.40,NA,7.25,0.10,NA,NA,NA,NA,NA,17.40,92.00,0.40,NA,NA,NA,NA,NA,NA
2025-01-01 04:15:00,63.00,88.00,NA,46.80,NA,3.90,13.90,NA,5.88,0.10,NA,NA,NA,NA,NA,17.40,92.00,0.30,NA,NA,NA,NA,NA,NA
2025-01-01 04:30:00,63.00,88.00,NA,47.20,NA,3.50,14.40,NA,6.66,0.00,NA,NA,NA,NA,NA,17.40,92.00,0.40,NA,NA,NA,NA,NA,NA
2025-01-01 04:45:00,64.00,78.00,NA,NA,NA,NA,13.90,NA,5.49,0.10,NA,NA,NA,NA,NA,16.80,92.00,0.30,NA,NA,NA,NA,NA,NA
2025-01-01 05:00:00,64.00,78.00,NA,NA,NA,NA,12.30,NA,4.70,0.00,NA,NA,NA,NA,NA,16.80,92.00,0.40,NA,NA,NA,NA,NA,NA
2025-01-01 05:15:00,64.00,78.00,NA,NA,NA,NA,13.10,NA,7.45,0.10,NA,NA,NA,NA,NA,16.80,92.00,0.30,NA,NA,NA,NA,NA,NA
2025-01-01 05:30:00,64.00,78.00,NA,46.20,NA,3.80,13.10,NA,6.27,0.00,NA,NA,NA,NA,NA,16.80,92.00,0.40,NA,NA,NA,NA,NA,NA
2025-01-01 05:45:00,54.00,76.00,NA,46.10,NA,3.60,NA,NA,4.70,0.00,NA,NA,NA,NA,NA,16.30,93.00,0.30,NA,NA,NA,NA,NA,NA
2025-01-01 06:00:00,54.00,76.00,NA,45.90,NA,3.80,NA,NA,4.51,0.00,NA,NA,NA,NA,NA,16.30,93.00,0.40,NA,NA,NA,NA,NA,NA
2025-01-01 06:15:00,54.00,76.00,NA,45.90,NA,4.30,NA,NA,4.70,0.00,NA,NA,NA,NA,NA,16.30,93.00,0.40,NA,NA,NA,NA,NA,NA
