Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,NA,34.72,7.45,26.78,34.23,NA,5.61,0.64,NA,NA,NA,NA,NA,NA,NA,18.20,64.41,NA,NA,NA,NA,1.77,NA,NA
2025-01-01 00:15:00,NA,34.69,7.33,26.68,34.01,NA,5.71,0.64,NA,NA,NA,NA,NA,NA,NA,18.30,64.20,NA,NA,NA,NA,1.50,NA,NA
2025-01-01 00:30:00,NA,34.72,7.36,26.84,34.20,NA,5.82,0.64,NA,NA,NA,NA,NA,NA,NA,18.05,64.28,NA,NA,NA,NA,2.50,NA,NA
2025-01-01 00:45:00,NA,39.26,8.60,27.23,35.83,NA,5.86,0.60,NA,NA,NA,NA,NA,NA,NA,18.00,64.22,NA,NA,NA,NA,4.95,NA,NA
2025-01-01 01:00:00,NA,39.66,7.19,25.69,32.87,NA,5.60,0.70,NA,NA,NA,NA,NA,NA,NA,17.91,64.09,NA,NA,NA,NA,2.67,NA,NA
2025-01-01 01:15:00,NA,39.64,8.32,26.70,35.02,NA,5.66,0.68,NA,NA,NA,NA,NA,NA,NA,17.80,64.14,NA,NA,NA,NA,1.56,NA,NA
2025-01-01 01:30:00,NA,39.65,7.98,25.95,33.93,NA,5.60,0.65,NA,NA,NA,NA,NA,NA,NA,17.06,64.06,0.06,NA,NA,NA,2.08,NA,NA
2025-01-01 01:45:00,NA,37.39,7.45,26.01,33.46,NA,5.71,0.60,NA,NA,NA,NA,NA,NA,NA,16.59,64.20,NA,NA,NA,NA,3.69,NA,NA
2025-01-01 02:00:00,NA,37.17,7.69,24.97,32.66,NA,5.47,0.69,NA,NA,NA,NA,NA,NA,NA,16.36,64.02,0.05,NA,NA,NA,1.60,NA,NA
2025-01-01 02:15:00,NA,37.17,7.66,24.54,32.20,NA,5.68,0.77,NA,NA,NA,NA,NA,NA,NA,16.94,64.17,0.06,NA,NA,NA,0.24,NA,NA
2025-01-01 02:30:00,NA,37.16,7.86,25.35,33.21,NA,5.66,0.64,NA,NA,NA,NA,NA,NA,NA,17.52,63.87,0.02,NA,NA,NA,0.10,NA,NA
2025-01-01 02:45:00,NA,36.04,7.33,25.73,33.07,NA,5.75,0.63,NA,NA,NA,NA,NA,NA,NA,17.19,64.32,NA,NA,NA,NA,1.95,NA,NA
2025-01-01 03:00:00,NA,35.90,7.54,25.02,32.57,NA,5.58,0.65,NA,NA,NA,NA,NA,NA,NA,17.35,63.91,NA,NA,NA,NA,0.97,NA,NA
2025-01-01 03:15:00,NA,35.93,7.60,24.33,31.93,NA,5.65,0.68,NA,NA,NA,NA,NA,NA,NA,17.23,63.71,NA,NA,NA,NA,0.45,NA,NA
2025-01-01 03:30:00,NA,35.91,8.80,24.67,33.47,NA,5.63,0.65,NA,NA,NA,NA,NA,NA,NA,17.18,63.86,0.01,NA,NA,NA,0.79,NA,NA
2025-01-01 03:45:00,NA,35.26,8.12,24.33,32.45,NA,5.59,0.58,NA,NA,NA,NA,NA,NA,NA,17.45,63.79,0.10,NA,NA,NA,0.24,NA,NA
2025-01-01 04:00:00,NA,35.22,7.88,24.56,32.44,NA,5.56,0.69,NA,NA,NA,NA,NA,NA,NA,17.00,63.83,0.11,NA,NA,NA,1.48,NA,NA
2025-01-01 04:15:00,NA,35.19,7.99,24.91,32.90,NA,5.59,0.66,NA,NA,NA,NA,NA,NA,NA,17.13,63.86,0.11,NA,NA,NA,3.16,NA,NA
2025-01-01 04:30:00,NA,35.23,7.30,24.55,31.85,NA,5.61,0.63,NA,NA,NA,NA,NA,NA,NA,16.84,63.63,0.08,NA,NA,NA,1.81,NA,NA
2025-01-01 04:45:00,NA,34.47,7.65,24.74,32.39,NA,5.58,0.61,NA,NA,NA,NA,NA,NA,NA,16.86,63.63,0.03,NA,NA,NA,0.01,NA,NA
2025-01-01 05:00:00,NA,34.42,8.58,25.47,34.05,NA,5.57,0.95,NA,NA,NA,NA,NA,NA,NA,16.85,63.42,NA,NA,NA,NA,1.64,NA,NA
2025-01-01 05:15:00,NA,34.43,8.25,24.63,32.88,NA,5.71,0.88,NA,NA,NA,NA,NA,NA,NA,16.46,63.76,NA,NA,NA,NA,1.96,NA,NA
2025-01-01 05:30:00,NA,34.41,8.43,24.74,33.17,NA,5.70,0.76,NA,NA,NA,NA,NA,NA,NA,16.55,63.60,NA,NA,NA,NA,0.57,NA,NA
2025-01-01 05:45:00,NA,34.30,7.44,25.31,32.75,NA,5.73,0.77,NA,NA,NA,NA,NA,NA,NA,16.46,63.53,0.02,NA,NA,NA,NA,NA,NA
2025-01-01 06:00:00,NA,34.28,7.13,25.49,32.62,NA,5.61,0.58,NA,NA,NA,NA,NA,NA,NA,16.14,63.62,0.06,NA,NA,NA,NA,NA,NA
2025-01-01 06:15:00,NA,34.27,7.38,25.77,33.15,NA,5.50,0.57,NA,NA,NA,NA,NA,NA,NA,16.20,63.25,NA,NA,NA,NA,0.03,NA,NA
2025-01-01 06:30:00,NA,34.32,8.60,26.17,34.77,NA,5.55,0.62,NA,NA,NA,NA,NA,NA,NA,15.71,63.34,NA,NA,NA,NA,2.78,NA,NA
2025-01-01 06:45:00,NA,34.30,8.43,26.73,35.16,NA,5.57,0.66,NA,NA,NA,NA,NA,NA,NA,15.63,63.01,0.07,NA,NA,NA,6.61,NA,NA
2025-01-01 07:00:00,NA,34.30,7.86,26.26,34.12,NA,5.47,0.93,NA,NA,NA,NA,NA,NA,NA,15.76,63.13,NA,NA,NA,NA,14.51,NA,NA
2025-01-01 07:15:00,NA,34.34,8.14,28.23,36.37,NA,5.62,1.01,NA,NA,NA,NA,NA,NA,NA,15.48,63.33,NA,NA,NA,NA,19.72,NA,NA
2025-01-01 07:30:00,NA,34.31,8.09,29.23,37.31,NA,5.62,0.97,NA,NA,NA,NA,NA,NA,NA,16.01,63.07,NA,NA,NA,NA,24.96,NA,NA
2025-01-01 07:45:00,NA,34.20,7.87,28.29,36.15,NA,5.56,0.90,NA,NA,NA,NA,NA,NA,NA,16.75,63.07,NA,NA,NA,NA,30.76,NA,NA
2025-01-01 08:00:00,NA,34.23,8.34,28.12,36.46,NA,5.61,0.83,NA,NA,NA,NA,NA,NA,NA,16.81,63.56,0.01,NA,NA,NA,37.15,NA,NA
2025-01-01 08:15:00,NA,34.21,8.66,27.85,36.52,NA,5.69,0.78,NA,NA,NA,NA,NA,NA,NA,17.21,63.61,NA,NA,NA,NA,42.87,NA,NA
2025-01-01 08:30:00,NA,34.22,7.93,27.30,35.23,NA,5.73,0.72,NA,NA,NA,NA,NA,NA,NA,17.76,63.63,NA,NA,NA,NA,50.33,NA,NA
2025-01-01 08:45:00,NA,34.53,8.20,27.28,35.47,NA,5.76,0.69,NA,NA,NA,NA,NA,NA,NA,17.96,63.87,NA,NA,NA,NA,57.44,NA,NA
2025-01-01 09:00:00,NA,34.56,8.07,27.24,35.31,NA,5.59,0.73,NA,NA,NA,NA,NA,NA,NA,18.54,63.92,NA,NA,NA,NA,66.58,NA,NA
2025-01-01 09:15:00,NA,34.60,7.74,26.34,34.08,NA,5.63,0.81,NA,NA,NA,NA,NA,NA,NA,18.49,64.09,NA,NA,NA,NA,112.15,NA,NA
2025-01-01 09:30:00,NA,34.58,7.65,26.52,34.17,NA,5.59,0.71,NA,NA,NA,NA,NA,NA,NA,18.97,64.04,NA,NA,NA,NA,98.61,NA,NA
2025-01-01 09:45:00,NA,34.19,7.38,26.72,34.10,NA,5.65,0.69,NA,NA,NA,NA,NA,NA,NA,18.98,64.18,NA,NA,NA,NA,207.81,NA,NA
2025-01-01 10:00:00,NA,34.14,8.45,27.09,35.54,NA,5.50,0.72,NA,NA,NA,NA,NA,NA,NA,19.31,64.08,NA,NA,NA,NA,405.57,NA,NA
2025-01-01 10:15:00,NA,34.14,7.94,26.28,34.22,NA,5.63,0.70,NA,NA,NA,NA,NA,NA,NA,19.31,64.24,NA,NA,NA,NA,724.54,NA,NA
2025-01-01 10:30:00,NA,34.13,8.40,26.47,34.87,NA,5.62,0.66,NA,NA,NA,NA,NA,NA,NA,19.86,64.48,NA,NA,NA,NA,765.72,NA,NA
2025-01-01 10:45:00,NA,34.53,7.98,26.13,34.11,NA,5.44,0.67,NA,NA,NA,NA,NA,NA,NA,20.10,64.34,NA,NA,NA,NA,809.67,NA,NA
2025-01-01 11:00:00,NA,34.56,7.26,25.87,33.12,NA,5.43,0.70,NA,NA,NA,NA,NA,NA,NA,20.60,64.60,NA,NA,NA,NA,822.82,NA,NA
2025-01-01 11:15:00,NA,34.56,8.00,25.74,33.73,NA,5.65,0.69,NA,NA,NA,NA,NA,NA,NA,21.17,64.80,0.04,NA,NA,NA,820.34,NA,NA
2025-01-01 11:30:00,NA,34.55,7.79,25.26,33.05,NA,5.69,0.62,NA,NA,NA,NA,NA,NA,NA,21.47,64.71,NA,NA,NA,NA,852.73,NA,NA
2025-01-01 11:45:00,NA,36.65,8.03,25.86,33.88,NA,5.77,0.55,NA,NA,NA,NA,NA,NA,NA,22.01,64.70,NA,NA,NA,NA,834.55,NA,NA
