locality,listing_count
Whitefield,463
Unknown,386
Sarjapur Road,325
Hebbal,284
Varthur,246
Thanisandra,241
Marathahalli,234
Yelahanka,223
Bellandur,222
Electronic City,221
Devanahalli,220
Koramangala,186
Haralur,145
KR Puram,145
Panathur,144
HSR Layout,139
Rajajinagar,126
Indiranagar,125
Horamavu,121
JP Nagar,120
Mahadevapura,117
Hoodi,114
Chandapura,108
Bannerghatta Road,103
Kadugodi,102
Kasavanahalli,101
Hosa Road,99
Kanakapura Road,98
Hennur,90
Kundalahalli,87
Ramamurthy Nagar,86
Richmond Town,83
Sarjapur,76
Ulsoor,76
Sahakar Nagar,75
Bommanahalli,73
Malleshwaram,73
Jigani,70
Kadubeesanahalli,69
Doddanekundi,67
Hulimavu,67
RT Nagar,65
Kengeri,64
RR Nagar,63
Banashankari,62
Mysore Road,62
CV Raman Nagar,61
Gottigere,60
Begur,58
Jayanagar,58
BTM Layout,53
BTM Layout Stage 2,52
Kammanahalli,51
Manyata Tech Park,51
Basavanagudi,50
Arekere,49
Singasandra,48
Phase 7 JP Nagar,46
Vijayanagar,45
Banaswadi,41
Domlur,41
Phase 8th JP Nagar,40
Brookefield,39
Seegehalli KR Puram,39
Budigere Cross,38
Jakkur,38
Choodasandra,37
Kumaraswamy Layout,37
Sector 1 HSR Layout,36
Sector 2 HSR Layout,35
Tumkur Road,35
EPIP Zone,33
Frazer Town,33
Ejipura,32
Nagarbhavi,32
Banashankari stage 6,31
Koramangala Block 4,31
Old Madras Road,31
Yemalur,31
Neeladri Nagar,30
Adarsh Palm Retreat,28
Battarahalli,28
OMBR Layout,28
Ambalipura,27
Banashankari Stage 2,27
Hennur Main Road,27
Kudlu,27
Sector 7 HSR Layout,27
BTM Layout Stage 1,26
Carmelaram,26
Green Glen Layout,26
HBR Layout,26
Sarjapura Attibele Road,26
Hosur Road,25
Indira nagar Stage 2,24
Phase 5 JP Nagar,24
Vijaya Bank Layout Bommanahalli,24
Budigere,23
Harlur,23
Kalyan Nagar,23
AECS Layout-Singasandra,22
Ayappa Nagar KR Puram,22
Konanakunte,22
Naganathapura,22
Padmanabhanagar,22
AECS Layout,21
Attibele,21
Bagalur Main Road,21
Gunjur,21
HAL Old Airport Road,21
Yeswanthpur,21
Kalkere,20
Phase 1st JP Nagar,20
Yelahanka Air Force base,20
Banashankari Stage 3,19
Chokkanahalli,19
JCR Layout,19
Phase 6 JP Nagar,19
Rayasandra,19
Block 1st Koramangala,18
Block 3rd Koramangala,18
Kogilu,18
Vignan Nagar,18
Kalena Agrahara,17
Kannamangala,17
Kumbalgodu,17
Ashwini layout,16
Block 4th Jayanagar,16
Cambridge Layout,16
Defence Colony-Indira nagar,16
Doddakannelli,16
ECC Road,16
Electronic City Phase 2,16
Hebbal Kempapura,16
Hegde Nagar,16
Horamavu Agara,16
Hoskote,16
HSR Extension,16
Murugeshpalya,16
Phase 2nd JP Nagar,16
Rajanukunte,16
Sanjayanagara,16
Kanaka Nagar,15
Kothanur,15
Nagavara,15
Vidyaranyapura,15
Bannerghatta,14
Begur Road,14
Devarabisanahalli,14
Dollars Colony,14
HBR Layout Block 2,14
Huvinayakanahalli,14
Koramangala 8th Block,14
Marathahalli Sarjapur Outer Ring Road,14
Sector 6 HSR Layout,14
Yelahanka New Town,14
Block 6th Koramangala,13
Channasandra,13
Cooke Town,13
ITPL,13
Kaggadasapura,13
Kannuru,13
Kengeri Satellite Town,13
Mahatma Gandhi Road,13
Ramagondanahalli-Whitefield,13
Vasanth Nagar,13
Bagaluru,12
Doddaballapur Main Road,12
Dommasandra,12
Hudi,12
Judicial Layout,12
Lavelle Road,12
Panduranga Nagar,12
Parappana Agrahara,12
Rachenahalli,12
4th T Block East,11
B Narayanapura,11
Devasthanagalu,11
Garudachar Palya,11
GM Palya,11
HRBR Layout,11
HRBR Layout Block 1,11
ITI Layout,11
KPC Layout Kasavanahalli,11
Mathikere,11
Phase 9th JP Nagar,11
RMV Extension Stage 2,11
Stage 2 Kumaraswamy Layout,11
Adugodi,10
AECS Layout Block A,10
Bilekahalli,10
Block 5th Koramangala,10
Block 7th Jayanagar,10
Chikkalasandra,10
Kaikondrahalli,10
Kodathi,10
Kudlu Gate,10
Munnekollal,10
Rajaji Nagar Block 1,10
Richmond Road,10
Sadaramangala,10
Sadashiva Nagar,10
Sector 3 HSR Layout,10
Anand Nagar- Hebbal,9
Anchepalya,9
Basavanapura Krishnarajapura,9
Belathur,9
Bellary Road,9
Chikkagubbi,9
Doddakallasandra,9
Giri Nagar,9
Hadosiddapura,9
Hanumantha Nagar,9
Karthik Nagar,9
Kaverappa Layout,9
Nandi Hills,9
New International Airport Road,9
Rajajinagar Stage 2,9
RBI Layout,9
Sector 4 HSR Layout,9
Thubarahalli,9
Thyagaraja Nagar,9
Udaya nagar,9
Varthur Road,9
Whitefield Main Road,9
Anekal,8
Babusapalya,8
Banashankari Stage 1,8
Banjara Layout,8
Block 5th Jayanagar,8
Block 8 Jaya Nagar,8
Block 9th Jayanagara,8
Bommasandra,8
Borewell Road,8
Budigere Road,8
Byatarayanapura,8
Chandapura Anekal Road,8
Dodda Nekkundi Extension,8
Domlur Stage 1,8
Hennur Bande,8
HRBR layout Block 2,8
Jakkuru Layout,8
Jalahalli,8
Jigani Industrial Area,8
Kammasandra,8
Kattigenahalli,8
Kodichikknahalli,8
Kurudusonnenahalli,8
Margondanahalli,8
Nallurhalli,8
Phase 4 JP Nagar,8
Raghuvanahalli BCMC Layout,8
Sector 5 HSR Layout,8
Seetharampalya,8
Stage 4th BTM Layout,8
Thambu Chetty Palya,8
Uttarahalli,8
Vajarahalli,8
Abbigere,7
Amarjyothi Layout,7
Babusahib Palya,7
Basaveshwar Nagar,7
Bettadasanapura,7
Bharath Nagar Manayata Tech Park,7
Bhattarahalli,7
Byrathi,7
Chamrajpet,7
Chikkajala,7
Devarachikkana Halli,7
Doddabommasandra,7
Doopanahalli,7
Gandhi Bazar,7
Gattahalli,7
HBR Layout Block 4,7
Ideal Homes Township,7
Jayanagar East,7
Kasturi Nagar,7
Kyalasanahalli,7
Malleshpalya,7
Mullur,7
Muthanallur,7
Nagarbhavi Stage 2,7
Pai Layout Mahadevapura,7
Phase 3rd JP Nagar,7
Rajaji Nagar Industrial Town,7
RMV Extension,7
Seshadripuram,7
Wilson Garden,7
Yamare Village,7
A Narayanapura,6
Akshayanagar,6
Amrutahalli,6
Avalahalli,6
Banashankari 6th Stage 6th Block,6
